time,open,high,low,close,tick_volume,spread,real_volume
2024-12-17 07:00:00,1.05082,1.051,1.05026,1.05045,888,1,0
2024-12-17 08:00:00,1.05046,1.05077,1.04974,1.05027,1414,4,0
2024-12-17 09:00:00,1.05034,1.0509,1.04955,1.04974,2054,0,0
2024-12-17 10:00:00,1.04974,1.04999,1.04848,1.0489,2287,4,0
2024-12-17 11:00:00,1.0489,1.0489,1.04804,1.04856,2205,4,0
2024-12-17 12:00:00,1.04872,1.04896,1.04789,1.04879,2053,4,0
2024-12-17 13:00:00,1.04879,1.0493999999999999,1.04839,1.04913,1829,4,0
2024-12-17 14:00:00,1.04913,1.05016,1.04881,1.05013,1928,4,0
2024-12-17 15:00:00,1.05011,1.05065,1.04918,1.05048,2662,3,0
2024-12-17 16:00:00,1.05046,1.05114,1.04977,1.05046,3006,4,0
2024-12-17 17:00:00,1.05049,1.05093,1.04956,1.04987,2859,4,0
2024-12-17 18:00:00,1.04987,1.0506,1.04944,1.05051,2367,4,0
2024-12-17 19:00:00,1.05051,1.05157,1.04979,1.04996,2220,3,0
2024-12-17 20:00:00,1.04993,1.05041,1.049,1.04932,1724,4,0
2024-12-17 21:00:00,1.04933,1.04951,1.04879,1.04883,1502,4,0
2024-12-17 22:00:00,1.04883,1.04904,1.04851,1.04881,1242,4,0
2024-12-17 23:00:00,1.04881,1.04929,1.04864,1.04883,605,4,0
2024-12-18 00:00:00,1.0486,1.04938,1.0486,1.0492,283,4,0
2024-12-18 01:00:00,1.04914,1.04951,1.0491,1.04943,464,4,0
2024-12-18 02:00:00,1.04943,1.05027,1.04926,1.04992,1075,3,0
2024-12-18 03:00:00,1.04991,1.05024,1.04955,1.0502,1286,4,0
2024-12-18 04:00:00,1.05023,1.05035,1.04963,1.05009,1112,4,0
2024-12-18 05:00:00,1.05009,1.05027,1.04988,1.04992,876,4,0
2024-12-18 06:00:00,1.04989,1.05056,1.04958,1.0503,871,0,0
2024-12-18 07:00:00,1.05029,1.05046,1.0500099999999999,1.05021,851,0,0
2024-12-18 08:00:00,1.05021,1.05116,1.05014,1.05112,1045,4,0
2024-12-18 09:00:00,1.05111,1.05126,1.04934,1.0497,2019,3,0
2024-12-18 10:00:00,1.04965,1.04986,1.04874,1.04932,2108,4,0
2024-12-18 11:00:00,1.04929,1.04985,1.04911,1.04941,1886,3,0
2024-12-18 12:00:00,1.04942,1.04999,1.04889,1.04983,1693,3,0
2024-12-18 13:00:00,1.04983,1.05033,1.04947,1.04965,1697,0,0
2024-12-18 14:00:00,1.04965,1.05019,1.04856,1.04905,1859,4,0
2024-12-18 15:00:00,1.04907,1.04984,1.04822,1.04919,2592,3,0
2024-12-18 16:00:00,1.04919,1.0503,1.04874,1.04964,2689,3,0
2024-12-18 17:00:00,1.04964,1.04986,1.04699,1.04737,2675,4,0
2024-12-18 18:00:00,1.04737,1.04808,1.0467,1.04689,2167,3,0
2024-12-18 19:00:00,1.0469,1.048,1.04688,1.04753,1739,4,0
